talo+Sg+Nom	talo

talo+Pl+Nom	talot

talo+Sg+Gen	talon

talo+Pl+Gen	talojen

talo+Sg+Part	taloa

talo+Pl+Part	taloja

talo+Sg+In	talossa

talo+Pl+In	taloissa

	+?

elämä+Sg+Nom	elämä

elämä+Pl+Nom	elämät

elämä+Sg+Gen	elämän

elämä+Pl+Gen	elämien

elämä+Sg+Part	elämää

elämä+Pl+Part	elämiä

elämä+Sg+In	elämässä

elämä+Pl+In	elämissä

	+?

kuu+Sg+Nom	kuu

kuu+Pl+Nom	kuut

kuu+Sg+Gen	kuun

kuu+Pl+Gen	kuiden

kuu+Sg+Part	kuuta

kuu+Pl+Part	kuita

kuu+Sg+In	kuussa

kuu+Pl+In	kuissa

	+?

työ+Sg+Nom	työ

työ+Pl+Nom	työt

työ+Sg+Gen	työn

työ+Pl+Gen	töiden

työ+Sg+Part	työtä

työ+Pl+Part	töitä

työ+Sg+In	työssä

työ+Pl+In	töissä

	+?

sukka+Sg+Nom	sukka

sukka+Pl+Nom	sukat

sukka+Sg+Gen	sukan

sukka+Pl+Gen	sukkien

sukka+Sg+Part	sukkaa

sukka+Pl+Part	sukkia

sukka+Sg+In	sukassa

sukka+Pl+In	sukissa

	+?

poika+Sg+Nom	poika

poika+Pl+Nom	pojat

poika+Sg+Gen	pojan

poika+Pl+Gen	poikien

poika+Sg+Part	poikaa

poika+Pl+Part	poikia

poika+Sg+In	pojassa

poika+Pl+In	pojissa

	+?

kaappi+Pl+In	kaapissa

matto+Pl+All	mattoille

kukka+Sg+Gen	kukan

	+?

tupa+Sg+In	tuvassa

katu+Sg+All	kadulle

vihta+Sg+All	vihdalle

poika+Sg+All	pojalle

jalka+Sg+Gen	jalan

	+?

matka+Pl+In	matkoissa

kirja+Pl+Part	kirjoja

piha+Pl+All	pihoille

herra+Pl+Gen	herrojen

	+?

koira+Pl+Gen	koirien

poika+Pl+All	pojille

muna+Pl+Part	munia

kuuma+Pl+In	kuumissa

	+?

kampa+Sg+All	kammalle

kenkä+Pl+Nom	kengät

ilta+Sg+All	illalle

kerta+Sg+Gen	kerran

suku+Sg+In	suvussa

	+?

puu+Pl+Part	puita

tie+Pl+All	teille

	+?

avain+Sg+Nom	avain

avain+Sg+Part	avainta

avain+Sg+Gen	avaimen

avain+Pl+In	avaimissa

	+?

työtön+Sg+Nom	työtön

työtön+Sg+Part	työtöntä

työtön+Sg+Gen	työttömen

työtön+Pl+In	työttömissä

	+?

	+?

talo+Sg+Ill	taloon

talo+Pl+Ill	taloihin

talo+Sg+In	talossa

talo+Pl+In	taloissa

talo+Sg+El	talosta

talo+Pl+El	taloista

talo+Sg+Ad	talolla

talo+Pl+Ad	taloilla

talo+Sg+Abl	talolta

talo+Pl+Abl	taloilta

talo+Sg+All	talolle

talo+Pl+All	taloille

	+?

kadu+Sg+Ill	kaduun

kadu+Pl+Ill	kaduihin

kadu+Sg+In	kadussa

kadu+Pl+In	kaduissa

kadu+Sg+El	kadusta

kadu+Pl+El	kaduista

kadu+Sg+Ad	kadulla

kadu+Pl+Ad	kaduilla

kadu+Sg+Abl	kadulta

kadu+Pl+Abl	kaduilta

kadu+Sg+All	kadulle

kadu+Pl+All	kaduille

	+?

kaupunki+Sg+Ill	kauvunkiin

kaupunki+Pl+Ill	kauvunkihin

kaupunki+Sg+In	kauvungissa

kaupunki+Pl+In	kauvungissa

kaupunki+Sg+El	kauvungista

kaupunki+Pl+El	kauvungista

kaupunki+Sg+Ad	kauvungilla

kaupunki+Pl+Ad	kauvungilla

kaupunki+Sg+Abl	kauvungilta

kaupunki+Pl+Abl	kauvungilta

kaupunki+Sg+All	kauvungille

kaupunki+Pl+All	kauvungille

	+?

kunta+Sg+Ill	kuntaan

kunta+Pl+Ill	kuntihin

kunta+Sg+In	kunnassa

kunta+Pl+In	kunnissa

kunta+Sg+El	kunnasta

kunta+Pl+El	kunnista

kunta+Sg+Ad	kunnalla

kunta+Pl+Ad	kunnilla

kunta+Sg+Abl	kunnalta

kunta+Pl+Abl	kunnilta

kunta+Sg+All	kunnalle

kunta+Pl+All	kunnille

	+?

sairaala+Sg+Ill	sairaalaan

sairaala+Pl+Ill	sairaaloihin

sairaala+Sg+In	sairaalassa

sairaala+Pl+In	sairaaloissa

sairaala+Sg+El	sairaalasta

sairaala+Pl+El	sairaaloista

